602,678,4
608,661,3
601,699,3
617,637,3
601,623,1
606,620,4
605,601,5
627,699,1
608,609,5
608,695,5
615,644,4
618,697,3
632,622,4
637,690,5
617,606,3
623,642,3
615,660,4
643,671,4
620,678,3
650,630,5
625,692,3
648,674,3
615,640,3
639,659,3
622,693,4
620,625,3
625,602,3
627,649,4
655,693,3
655,670,3
616,689,4
620,682,2
608,673,4
645,675,4
656,689,2
626,682,3
647,604,4
623,692,3
646,690,3
604,670,5
653,622,3
601,671,4
623,629,3
646,682,3
640,663,5
659,646,4
627,685,3
659,601,3
650,665,2
657,690,4
659,607,5
655,685,2
642,623,4
645,658,4
663,658,4
648,675,2
606,660,5
664,659,5
655,628,3
620,683,3
647,631,4
648,685,5
659,602,4
666,638,3
646,683,3
619,651,5
600,651,4
617,647,3
655,611,3
663,603,4
639,692,3
650,674,4
608,658,3
682,623,3
665,684,3
691,603,5
618,655,4
650,637,3
639,664,2
624,628,4
682,655,5
616,678,2
667,651,5
653,685,3
650,629,3
608,607,5
617,607,4
608,693,3
615,632,5
629,660,5
648,676,2
624,687,2
654,678,4
664,663,4
655,698,4
670,651,4
659,654,4
650,692,3
692,692,3
623,659,5
655,619,3
650,650,2
661,676,4
666,699,3
650,671,3
623,648,5
655,672,2
659,659,3
660,625,3
693,604,3
671,628,3
618,673,3
632,655,3
642,699,5
694,684,4
666,656,4
642,625,3
682,658,4
648,687,1
670,615,3
633,651,3
610,699,2
648,636,4
639,638,4
617,644,4
664,673,3
618,676,2
693,655,3
660,603,4
664,678,2
622,685,2
659,670,2
652,699,5
671,685,5
659,675,4
688,682,5
650,663,4
694,610,4
666,661,4
670,650,2
617,667,2
694,671,3
621,624,5
617,631,2
620,674,3
650,648,3
697,683,1
682,651,4
659,699,3
650,659,3
655,656,3
699,678,3
676,688,1
684,625,3
650,679,3
608,655,5
659,661,5
648,615,4
655,610,4
640,684,4
688,678,5
655,629,3
606,628,4
618,692,4
625,647,4
659,636,3
601,673,1
645,627,2
694,699,4
682,697,4
666,636,4
653,696,1
661,603,3
690,649,4
657,628,3
624,678,3
618,625,4
648,679,3
655,647,3
682,673,3
666,604,3
693,631,3
698,603,4
666,684,4
615,631,4
698,659,3
655,654,3
694,654,4
608,660,5
617,648,3
696,689,1
664,636,3
618,684,3
642,627,3
627,631,3
650,608,4
650,673,3
659,648,3
638,636,3
655,612,3
639,660,2
648,662,3
664,649,4
698,656,1
655,694,3
693,673,4
694,641,4
664,603,5
642,624,3
676,682,1
645,640,4
660,663,2
633,665,3
608,699,5
639,648,3
612,604,4
687,678,4
655,604,4
697,628,4
659,647,3
693,684,3
655,684,3
630,620,4
666,662,3
690,663,4
622,679,3
604,637,4
600,684,4
629,684,5
654,660,5
686,651,5
684,692,4
650,627,2
664,684,4
694,617,4
675,650,5
693,650,3
682,687,2
697,689,4
638,679,3
666,603,4
659,649,3
655,632,3
617,669,1
650,612,4
606,647,3
658,603,4
663,619,4
627,651,4
627,673,2
650,654,3
659,664,4
693,660,3
627,636,4
671,684,3
659,629,4
650,631,3
660,680,2
661,647,4
655,631,4
613,607,4
619,665,5
655,651,4
694,692,4
661,615,4
682,699,3
653,674,3
694,645,4
682,619,3
693,693,3
