1,90,2
1,95,5
7,42,4
31,77,2
28,87,4
40,45,5
19,62,2
5,27,4
36,96,3
37,45,4
10,79,5
33,31,1
47,26,3
33,54,4
36,80,4
39,25,4
25,41,4
41,92,3
56,79,3
25,64,3
25,32,3
45,77,2
28,74,3
0,64,4
3,87,5
57,98,5
80,24,4
5,56,4
69,46,2
51,26,4
36,75,1
80,20,3
72,15,4
80,33,4
63,82,4
80,41,3
65,25,1
64,92,3
83,67,5
26,20,3
71,95,3
13,77,1
86,19,4
89,19,2
94,88,4
48,99,3
87,39,4
52,20,4
92,49,2
25,70,3
89,86,3
46,37,5
4,26,3
83,82,4
53,73,3
53,79,4
52,41,4
80,79,3
29,55,4
80,2,3
94,45,3
26,2,4
96,49,2
82,15,2
43,31,4
85,66,3
40,84,5
90,43,3
80,31,4
59,46,5
71,83,3
30,20,1
53,87,2
32,76,3
39,66,2
17,40,2
43,0,4
87,26,1
94,47,4
18,87,4
11,92,4
62,20,4
86,13,4
28,95,2
86,24,4
7,20,3
42,86,4
63,98,1
88,69,4
63,73,2
94,63,5
80,64,3
86,1,3
87,32,2
96,72,3
63,72,2
96,80,4
54,23,2
51,92,2
87,71,5
65,45,1
97,71,3
54,29,2
32,73,2
63,79,2
80,26,3
89,20,2
80,10,3
71,96,3
89,79,3
94,77,3
51,66,3
54,46,3
72,64,3
54,15,2
92,45,4
33,26,2
41,73,4
60,90,2
94,98,4
51,28,2
54,40,2
81,26,1
80,1,3
60,46,2
68,25,1
51,81,3
63,77,1
86,3,2
13,98,1
80,15,4
5,6,4
66,87,3
71,76,3
83,73,3
96,24,1
94,85,2
52,40,3
13,90,4
62,31,3
46,49,3
80,49,3
48,45,5
85,21,3
92,20,3
70,56,3
89,18,4
43,60,3
46,10,3
18,75,1
71,13,3
12,81,4
4,31,3
97,40,3
93,49,3
5,66,1
25,27,4
4,24,3
51,41,3
70,10,3
53,77,2
94,86,3
94,55,4
81,12,2
86,26,1
70,13,4
96,40,2
70,73,2
89,56,4
51,79,4
72,95,5
52,25,3
79,66,5
28,86,1
13,92,1
87,28,3
25,25,4
89,66,4
96,8,3
51,40,3
51,80,3
96,87,2
96,95,2
81,31,2
21,45,5
93,20,3
96,36,3
7,26,3
26,49,4
93,15,3
66,89,2
65,47,5
25,71,3
72,26,3
48,5,5
72,20,3
96,20,2
73,79,2
80,76,4
68,54,4
7,31,4
51,33,3
39,13,4
97,64,4
62,25,5
33,61,3
80,45,3
89,47,4
72,92,3
94,83,3
70,41,2
44,64,3
64,0,1
80,25,4
63,76,2
82,41,1
12,73,4
94,79,4
6,56,5
52,27,2
68,43,1
63,85,1
2,79,5
81,49,2
51,23,3
81,64,3
60,65,4
28,96,4
33,6,4
69,15,1
17,76,4
66,82,2
78,55,3
64,5,4
10,76,3
54,25,3
33,40,2
55,55,4
32,95,2
72,45,3
6,79,3
25,23,4
99,27,2
5,90,3
96,0,3
15,71,1
15,35,3
80,23,3
25,31,3
46,36,5
94,87,4
7,43,2
80,18,2
46,6,3
57,92,3
96,10,1
76,78,2
89,69,3
51,75,5
83,96,5
85,15,4
62,45,4
62,23,4
51,31,5
33,60,2
96,1,2
91,66,5
93,45,3
87,45,4
11,95,5
10,81,4
63,86,3
54,26,2
92,26,2
52,26,3
23,66,2
45,96,3
51,20,3
51,95,3
83,5,4
8,75,4
51,24,4
51,45,3
97,66,5
25,66,4
5,10,2
39,64,3
25,44,2
46,2,2
15,37,5
53,80,5
83,63,3
94,75,3
66,96,2
51,18,2
82,20,3
40,55,4
47,20,1
25,40,4
63,95,5
33,19,1
42,74,5
67,55,5
60,94,2
34,86,4
13,93,3
86,33,5
97,26,4
72,71,3
94,18,3
81,20,2
73,75,1
17,31,1
33,24,1
54,55,4
63,87,3
89,33,3
5,31,4
51,25,4
96,9,2
75,6,4
95,85,2
39,45,4
26,10,3
1,81,3
8,72,5
89,81,3
80,81,4
96,45,3
70,2,3
54,11,3
51,6,4
83,86,3
25,33,4
33,2,1
41,88,5
93,19,3
51,15,3
4,20,4
65,31,1
29,45,3
96,2,2
10,78,4
4,41,4
94,74,4
83,56,5
30,37,5
48,55,5
94,27,3
48,12,2
92,25,4
39,46,2
92,37,5
62,66,4
89,31,2
10,73,3
97,49,4
83,47,4
64,1,3
72,93,4
20,95,2
30,34,1
6,75,3
